province,year_month,n_attacks,n_isis_attacks,n_isis_success,n_killed,n_wounded,n_casualties,n_attacks_with_casualties,n_suicide,n_not_suicide,n_success,n_failure,n_bombing,n_armed_assault,n_assassination,n_kidnapping,n_targ_civilian,n_targ_military,n_targ_police,n_targ_govt,n_targ_business,casualties_per_attack,killed_per_attack,n_strikes,strike_fatalities,n_turkish_strikes,province_id,time_index,log_strikes,log_turkish_strikes,log_strikes_lag1,log_strikes_lag2,log_strikes_lag3,log_strikes_lag4,log_strikes_lag5,log_strikes_lag6
Al Anbar,2016-01-01,40,22,15.0,496,207,570,33,17,23,25,15,36,2,0,0,9,18,2,0,1,17.272727272727273,15.030303030303031,62,238,0,0,0,4.143134726391533,0.0,,,,,,
Al Anbar,2016-02-01,91,43,27.0,485,125,477,82,30,61,34,57,81,2,0,2,10,31,6,0,2,5.817073170731708,5.914634146341464,98,221,0,0,1,4.59511985013459,0.0,4.143134726391533,,,,,
Al Anbar,2016-03-01,70,32,22.0,301,137,386,66,20,50,32,38,57,1,1,0,28,22,1,1,1,5.848484848484849,4.5606060606060606,99,260,0,0,2,4.605170185988092,0.0,4.59511985013459,4.143134726391533,,,,
Al Anbar,2016-04-01,56,25,17.0,200,199,377,47,15,41,29,27,48,0,0,6,14,15,0,1,2,8.02127659574468,4.25531914893617,117,537,0,0,3,4.770684624465665,0.0,4.605170185988092,4.59511985013459,4.143134726391533,,,
Al Anbar,2016-05-01,111,37,26.0,352,151,369,102,27,84,38,73,104,1,1,1,18,21,4,2,1,3.6176470588235294,3.450980392156863,166,228,0,0,4,5.117993812416755,0.0,4.770684624465665,4.605170185988092,4.59511985013459,4.143134726391533,,
Al Anbar,2016-06-01,90,34,23.0,550,795,1212,84,22,68,40,50,76,7,1,1,23,15,1,2,3,14.428571428571429,6.5476190476190474,124,361,0,0,5,4.8283137373023015,0.0,5.117993812416755,4.770684624465665,4.605170185988092,4.59511985013459,4.143134726391533,
Al Anbar,2016-07-01,74,6,3.0,51,63,114,74,2,72,13,61,69,0,3,0,47,1,3,0,0,1.5405405405405406,0.6891891891891891,109,241,0,0,6,4.700480365792417,0.0,4.8283137373023015,5.117993812416755,4.770684624465665,4.605170185988092,4.59511985013459,4.143134726391533
Al Anbar,2016-08-01,71,14,9.0,163,95,258,69,10,61,26,45,60,2,3,1,37,13,8,1,1,3.739130434782609,2.36231884057971,83,167,0,0,7,4.430816798843313,0.0,4.700480365792417,4.8283137373023015,5.117993812416755,4.770684624465665,4.605170185988092,4.59511985013459
Al Anbar,2016-09-01,24,13,9.0,88,57,145,20,1,23,17,7,17,1,0,1,11,1,5,0,0,7.25,4.4,92,170,0,0,8,4.532599493153256,0.0,4.430816798843313,4.700480365792417,4.8283137373023015,5.117993812416755,4.770684624465665,4.605170185988092
Al Anbar,2016-10-01,44,7,4.0,65,32,97,43,4,40,13,31,39,1,1,2,5,3,1,1,0,2.255813953488372,1.5116279069767442,44,45,0,0,9,3.8066624897703196,0.0,4.532599493153256,4.430816798843313,4.700480365792417,4.8283137373023015,5.117993812416755,4.770684624465665
Al Anbar,2016-11-01,34,19,18.0,110,93,161,29,5,29,29,5,29,0,0,3,5,3,6,5,3,5.551724137931035,3.793103448275862,51,10,0,0,10,3.9512437185814275,0.0,3.8066624897703196,4.532599493153256,4.430816798843313,4.700480365792417,4.8283137373023015,5.117993812416755
Al Anbar,2016-12-01,96,13,10.0,43,22,65,94,5,91,92,4,94,1,0,0,4,4,3,1,0,0.6914893617021277,0.4574468085106383,43,40,0,0,11,3.784189633918261,0.0,3.9512437185814275,3.8066624897703196,4.532599493153256,4.430816798843313,4.700480365792417,4.8283137373023015
Al Anbar,2017-01-01,25,20,13.0,74,42,116,25,10,15,17,8,18,0,1,2,5,11,5,1,1,4.64,2.96,5,43,0,0,12,1.791759469228055,0.0,3.784189633918261,3.9512437185814275,3.8066624897703196,4.532599493153256,4.430816798843313,4.700480365792417
Al Anbar,2017-02-01,52,15,12.0,80,57,137,50,5,47,24,28,46,2,0,2,14,8,2,3,1,2.74,1.6,6,16,0,0,13,1.9459101490553132,0.0,1.791759469228055,3.784189633918261,3.9512437185814275,3.8066624897703196,4.532599493153256,4.430816798843313
Al Anbar,2017-03-01,26,12,8.0,48,55,103,25,2,24,21,5,21,1,1,0,9,7,2,1,5,4.12,1.92,5,34,0,0,14,1.791759469228055,0.0,1.9459101490553132,1.791759469228055,3.784189633918261,3.9512437185814275,3.8066624897703196,4.532599493153256
Al Anbar,2017-04-01,25,12,11.0,75,58,133,24,3,22,18,7,17,2,0,3,5,10,4,0,0,5.541666666666667,3.125,11,116,0,0,15,2.4849066497880004,0.0,1.791759469228055,1.9459101490553132,1.791759469228055,3.784189633918261,3.9512437185814275,3.8066624897703196
Al Anbar,2017-05-01,39,25,16.0,70,101,171,37,7,32,23,16,29,2,1,1,12,12,5,1,0,4.621621621621622,1.8918918918918919,12,132,0,0,16,2.5649493574615367,0.0,2.4849066497880004,1.791759469228055,1.9459101490553132,1.791759469228055,3.784189633918261,3.9512437185814275
Al Anbar,2017-06-01,36,18,15.0,54,99,148,34,6,30,25,11,33,0,0,0,8,7,4,0,3,4.352941176470588,1.588235294117647,15,21,0,0,17,2.772588722239781,0.0,2.5649493574615367,2.4849066497880004,1.791759469228055,1.9459101490553132,1.791759469228055,3.784189633918261
Al Anbar,2017-07-01,36,17,10.0,108,48,153,33,10,26,19,17,32,0,0,0,5,8,3,2,2,4.636363636363637,3.272727272727273,33,35,0,0,18,3.5263605246161616,0.0,2.772588722239781,2.5649493574615367,2.4849066497880004,1.791759469228055,1.9459101490553132,1.791759469228055
Al Anbar,2017-08-01,30,15,14.0,74,143,217,29,4,26,23,7,27,0,0,2,10,6,3,0,5,7.482758620689655,2.5517241379310347,44,19,0,0,19,3.8066624897703196,0.0,3.5263605246161616,2.772588722239781,2.5649493574615367,2.4849066497880004,1.791759469228055,1.9459101490553132
Al Anbar,2017-09-01,35,16,14.0,110,55,160,30,6,29,26,9,24,1,0,4,18,9,1,0,1,5.333333333333333,3.6666666666666665,49,26,0,0,20,3.912023005428146,0.0,3.8066624897703196,3.5263605246161616,2.772588722239781,2.5649493574615367,2.4849066497880004,1.791759469228055
Al Anbar,2017-10-01,28,18,9.0,65,44,107,26,14,14,17,11,24,2,0,2,6,7,0,0,4,4.115384615384615,2.5,55,55,0,0,21,4.02535169073515,0.0,3.912023005428146,3.8066624897703196,3.5263605246161616,2.772588722239781,2.5649493574615367,2.4849066497880004
Al Anbar,2017-11-01,34,10,4.0,24,52,76,34,2,32,21,13,32,0,0,0,8,5,0,2,6,2.235294117647059,0.7058823529411765,26,72,0,0,22,3.295836866004329,0.0,4.02535169073515,3.912023005428146,3.8066624897703196,3.5263605246161616,2.772588722239781,2.5649493574615367
Al Anbar,2017-12-01,18,3,3.0,35,31,64,17,0,18,15,3,16,1,0,0,7,3,1,0,4,3.764705882352941,2.0588235294117645,9,8,0,0,23,2.302585092994046,0.0,3.295836866004329,4.02535169073515,3.912023005428146,3.8066624897703196,3.5263605246161616,2.772588722239781
Al Anbar,2018-01-01,17,5,5.0,9,42,51,17,0,17,14,3,14,0,3,0,8,1,4,1,1,3.0,0.5294117647058824,3,0,0,0,24,1.3862943611198906,0.0,2.302585092994046,3.295836866004329,4.02535169073515,3.912023005428146,3.8066624897703196,3.5263605246161616
Al Anbar,2018-02-01,14,11,8.0,8,34,42,14,1,13,11,3,8,1,1,0,4,5,3,1,1,3.0,0.5714285714285714,3,21,0,0,25,1.3862943611198906,0.0,1.3862943611198906,2.302585092994046,3.295836866004329,4.02535169073515,3.912023005428146,3.8066624897703196
Al Anbar,2018-03-01,24,14,12.0,20,37,57,24,1,23,21,3,18,4,0,1,7,7,6,0,2,2.375,0.8333333333333334,3,0,0,0,26,1.3862943611198906,0.0,1.3862943611198906,1.3862943611198906,2.302585092994046,3.295836866004329,4.02535169073515,3.912023005428146
Al Anbar,2018-04-01,16,5,5.0,18,50,68,16,4,12,10,6,16,0,0,0,5,2,1,1,0,4.25,1.125,5,0,0,0,27,1.791759469228055,0.0,1.3862943611198906,1.3862943611198906,1.3862943611198906,2.302585092994046,3.295836866004329,4.02535169073515
Al Anbar,2018-05-01,17,6,6.0,2,22,21,16,0,17,9,8,16,0,0,0,5,1,3,0,0,1.3125,0.125,4,0,0,0,28,1.6094379124341003,0.0,1.791759469228055,1.3862943611198906,1.3862943611198906,1.3862943611198906,2.302585092994046,3.295836866004329
Al Anbar,2018-06-01,8,5,2.0,4,3,7,8,2,6,3,5,7,0,0,1,2,1,0,0,0,0.875,0.5,1,0,0,0,29,0.6931471805599453,0.0,1.6094379124341003,1.791759469228055,1.3862943611198906,1.3862943611198906,1.3862943611198906,2.302585092994046
Al Anbar,2018-07-01,10,6,6.0,13,22,35,10,0,10,9,1,8,1,0,0,4,5,0,0,0,3.5,1.3,1,0,0,0,30,0.6931471805599453,0.0,0.6931471805599453,1.6094379124341003,1.791759469228055,1.3862943611198906,1.3862943611198906,1.3862943611198906
Al Anbar,2018-08-01,11,8,6.0,20,30,50,11,1,10,8,3,8,1,2,0,3,4,1,1,0,4.545454545454546,1.8181818181818181,2,0,0,0,31,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,1.6094379124341003,1.791759469228055,1.3862943611198906,1.3862943611198906
Al Anbar,2018-09-01,10,8,8.0,7,21,28,10,1,9,10,0,8,2,0,0,5,3,0,0,0,2.8,0.7,2,0,0,0,32,1.0986122886681098,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.6094379124341003,1.791759469228055,1.3862943611198906
Al Anbar,2018-10-01,17,11,9.0,27,17,43,16,2,15,12,5,8,3,1,1,6,4,3,1,1,2.6875,1.6875,1,0,0,0,33,0.6931471805599453,0.0,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.6094379124341003,1.791759469228055
Al Anbar,2018-11-01,5,2,1.0,9,5,14,5,0,5,3,2,4,0,1,0,1,2,0,0,0,2.8,1.8,0,0,0,0,34,0.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.6094379124341003
Al Anbar,2018-12-01,2,1,1.0,1,2,3,2,1,1,1,1,2,0,0,0,1,0,1,0,0,1.5,0.5,1,0,0,0,35,0.6931471805599453,0.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453
